date,close,change_close,open,high,low,volume,company_name
2019.09.18,7260.0,10.0,7210.0,7300.0,7210.0,11900.0,JTC
2019.09.17,7250.0,10.0,7200.0,7270.0,7110.0,42893.0,JTC
2019.09.16,7240.0,20.0,7220.0,7290.0,7180.0,39864.0,JTC
2019.09.11,7220.0,50.0,7090.0,7220.0,7090.0,42621.0,JTC
2019.09.10,7170.0,100.0,7230.0,7300.0,7080.0,78322.0,JTC
2019.09.09,7270.0,10.0,7270.0,7330.0,7210.0,48425.0,JTC
2019.09.06,7260.0,60.0,7210.0,7300.0,7170.0,48891.0,JTC
2019.09.05,7200.0,90.0,7260.0,7310.0,7160.0,74956.0,JTC
2019.09.04,7290.0,390.0,6900.0,7330.0,6900.0,197284.0,JTC
2019.09.03,6900.0,320.0,6680.0,6900.0,6630.0,95702.0,JTC
2019.09.02,6580.0,40.0,6540.0,6600.0,6450.0,28442.0,JTC
2019.08.30,6540.0,50.0,6580.0,6580.0,6450.0,74771.0,JTC
2019.08.29,6490.0,10.0,6560.0,6560.0,6360.0,27447.0,JTC
2019.08.28,6480.0,110.0,6310.0,6480.0,6300.0,32399.0,JTC
2019.08.27,6370.0,120.0,6490.0,6630.0,6330.0,51247.0,JTC
2019.08.26,6490.0,260.0,6570.0,6690.0,6380.0,89065.0,JTC
2019.08.23,6750.0,200.0,6980.0,6980.0,6720.0,92917.0,JTC
2019.08.22,6950.0,30.0,7000.0,7060.0,6890.0,96534.0,JTC
2019.08.21,6980.0,30.0,6950.0,7020.0,6830.0,57479.0,JTC
2019.08.20,6950.0,130.0,6900.0,6950.0,6800.0,43201.0,JTC
2019.08.19,6820.0,20.0,6800.0,6930.0,6710.0,51876.0,JTC
2019.08.16,6800.0,150.0,6840.0,7000.0,6790.0,72688.0,JTC
2019.08.14,6950.0,220.0,6670.0,7000.0,6670.0,104385.0,JTC
2019.08.13,6730.0,30.0,6580.0,7080.0,6500.0,90382.0,JTC
2019.08.12,6700.0,300.0,6470.0,6740.0,6320.0,115917.0,JTC
2019.08.09,6400.0,390.0,5990.0,6870.0,5980.0,307556.0,JTC
2019.08.08,6010.0,270.0,5740.0,6130.0,5720.0,93302.0,JTC
2019.08.07,5740.0,50.0,5630.0,5900.0,5630.0,131606.0,JTC
2019.08.06,5690.0,260.0,5550.0,5990.0,5500.0,178149.0,JTC
2019.08.05,5950.0,550.0,6350.0,6440.0,5950.0,213216.0,JTC
2019.08.02,6500.0,160.0,6470.0,6560.0,6330.0,105955.0,JTC
2019.08.01,6660.0,190.0,6850.0,7180.0,6350.0,203354.0,JTC
2019.07.31,6850.0,380.0,6310.0,6980.0,6310.0,132490.0,JTC
2019.07.30,6470.0,20.0,6450.0,6570.0,6440.0,80657.0,JTC
2019.07.29,6450.0,400.0,6920.0,7050.0,6350.0,173411.0,JTC
2019.07.26,6850.0,180.0,6620.0,6860.0,6550.0,94174.0,JTC
2019.07.25,6670.0,140.0,6660.0,6810.0,6650.0,91042.0,JTC
2019.07.24,6810.0,220.0,6950.0,7040.0,6630.0,140893.0,JTC
2019.07.23,7030.0,40.0,7070.0,7120.0,7000.0,49042.0,JTC
2019.07.22,7070.0,20.0,7000.0,7200.0,6800.0,49106.0,JTC
2019.07.19,7050.0,150.0,6840.0,7080.0,6840.0,59937.0,JTC
2019.07.18,6900.0,0.0,6910.0,7100.0,6800.0,82847.0,JTC
2019.07.17,6900.0,110.0,7030.0,7030.0,6860.0,37173.0,JTC
2019.07.16,7010.0,30.0,6980.0,7040.0,6880.0,76099.0,JTC
2019.07.15,6980.0,110.0,7040.0,7100.0,6920.0,50160.0,JTC
2019.07.12,7090.0,20.0,7080.0,7170.0,7040.0,39687.0,JTC
2019.07.11,7070.0,10.0,7160.0,7160.0,7000.0,41704.0,JTC
2019.07.10,7080.0,280.0,6840.0,7190.0,6840.0,110853.0,JTC
2019.07.09,6800.0,140.0,6660.0,6880.0,6600.0,119248.0,JTC
2019.07.08,6660.0,410.0,7020.0,7020.0,6660.0,212649.0,JTC
2019.07.05,7070.0,70.0,7190.0,7190.0,7040.0,86622.0,JTC
2019.07.04,7140.0,50.0,7080.0,7190.0,6980.0,112555.0,JTC
2019.07.03,7090.0,490.0,7550.0,7550.0,6880.0,604649.0,JTC
2019.07.02,7580.0,180.0,7760.0,7760.0,7550.0,139707.0,JTC
2019.07.01,7760.0,120.0,7880.0,8000.0,7710.0,173902.0,JTC
2019.06.28,7880.0,40.0,7760.0,7900.0,7750.0,74676.0,JTC
2019.06.27,7840.0,60.0,7810.0,7910.0,7780.0,108989.0,JTC
2019.06.26,7900.0,30.0,7930.0,7950.0,7770.0,87668.0,JTC
2019.06.25,7930.0,90.0,8030.0,8110.0,7770.0,160883.0,JTC
2019.06.24,8020.0,40.0,8000.0,8130.0,7940.0,144528.0,JTC
2019.06.21,7980.0,0.0,7960.0,8040.0,7880.0,115286.0,JTC
2019.06.20,7980.0,160.0,7860.0,8100.0,7780.0,188984.0,JTC
2019.06.19,7820.0,10.0,7800.0,7880.0,7660.0,171604.0,JTC
2019.06.18,7830.0,360.0,7530.0,7970.0,7530.0,443939.0,JTC
2019.06.17,7470.0,10.0,7450.0,7530.0,7440.0,64266.0,JTC
2019.06.14,7480.0,80.0,7520.0,7560.0,7410.0,112420.0,JTC
2019.06.13,7560.0,40.0,7640.0,7640.0,7480.0,103752.0,JTC
2019.06.12,7600.0,60.0,7660.0,7710.0,7600.0,80072.0,JTC
2019.06.11,7660.0,20.0,7640.0,7810.0,7610.0,148246.0,JTC
2019.06.10,7640.0,50.0,7560.0,7640.0,7520.0,142782.0,JTC
2019.06.07,7590.0,10.0,7600.0,7610.0,7530.0,67020.0,JTC
2019.06.05,7580.0,10.0,7590.0,7650.0,7510.0,146424.0,JTC
2019.06.04,7570.0,110.0,7460.0,7570.0,7440.0,58854.0,JTC
2019.06.03,7460.0,10.0,7330.0,7490.0,7330.0,82297.0,JTC
2019.05.31,7450.0,20.0,7400.0,7490.0,7400.0,80640.0,JTC
2019.05.30,7430.0,50.0,7450.0,7510.0,7310.0,84337.0,JTC
2019.05.29,7480.0,50.0,7530.0,7560.0,7400.0,88176.0,JTC
2019.05.28,7530.0,90.0,7440.0,7620.0,7440.0,155118.0,JTC
2019.05.27,7440.0,10.0,7450.0,7620.0,7330.0,139458.0,JTC
2019.05.24,7450.0,430.0,7820.0,7820.0,7450.0,390568.0,JTC
2019.05.23,7880.0,340.0,8220.0,8250.0,7740.0,401675.0,JTC
2019.05.22,8220.0,40.0,8350.0,8440.0,8110.0,169372.0,JTC
2019.05.21,8260.0,140.0,8040.0,8350.0,8040.0,127226.0,JTC
2019.05.20,8120.0,60.0,8250.0,8650.0,8080.0,362270.0,JTC
2019.05.17,8060.0,40.0,8270.0,8270.0,7970.0,182532.0,JTC
2019.05.16,8100.0,70.0,8170.0,8270.0,8070.0,123537.0,JTC
2019.05.15,8170.0,110.0,8080.0,8200.0,8080.0,128097.0,JTC
2019.05.14,8060.0,290.0,8150.0,8350.0,8040.0,208171.0,JTC
2019.05.13,8350.0,120.0,8190.0,8630.0,8090.0,366465.0,JTC
2019.05.10,8230.0,70.0,8160.0,8450.0,7930.0,199233.0,JTC
2019.05.09,8160.0,520.0,8600.0,8750.0,8120.0,361843.0,JTC
2019.05.08,8680.0,190.0,8750.0,8870.0,8680.0,108795.0,JTC
2019.05.07,8870.0,70.0,8810.0,8970.0,8640.0,202272.0,JTC
2019.05.03,8940.0,40.0,8900.0,9030.0,8760.0,222022.0,JTC
2019.05.02,8900.0,170.0,9070.0,9070.0,8830.0,221804.0,JTC
2019.04.30,9070.0,530.0,8790.0,9160.0,8750.0,569932.0,JTC
2019.04.29,8540.0,400.0,8240.0,8560.0,8200.0,255584.0,JTC
2019.04.26,8140.0,210.0,8290.0,8340.0,8100.0,266474.0,JTC
2019.04.25,8350.0,450.0,8740.0,8800.0,8260.0,410686.0,JTC
2019.04.24,8800.0,160.0,9000.0,9010.0,8670.0,173727.0,JTC
2019.04.23,8960.0,30.0,8980.0,8990.0,8750.0,142918.0,JTC
2019.04.22,8930.0,10.0,8940.0,9070.0,8830.0,139233.0,JTC
2019.04.19,8920.0,90.0,8970.0,9120.0,8770.0,279886.0,JTC
2019.04.18,9010.0,100.0,9040.0,9080.0,8870.0,159917.0,JTC
2019.04.17,8910.0,230.0,9160.0,9220.0,8910.0,284032.0,JTC
2019.04.16,9140.0,140.0,9310.0,9360.0,8820.0,516908.0,JTC
2019.04.15,9280.0,380.0,9720.0,9750.0,9230.0,543621.0,JTC
2019.04.12,9660.0,180.0,9570.0,9750.0,9420.0,291714.0,JTC
2019.04.11,9480.0,20.0,9480.0,9630.0,9320.0,263625.0,JTC
2019.04.10,9460.0,390.0,9800.0,9820.0,9390.0,497451.0,JTC
2019.04.09,9850.0,70.0,9900.0,9900.0,9630.0,319312.0,JTC
2019.04.08,9920.0,100.0,9960.0,9990.0,9600.0,694014.0,JTC
2019.04.05,9820.0,180.0,9700.0,10100.0,9510.0,779029.0,JTC
2019.04.04,9640.0,10.0,9630.0,9670.0,9350.0,484625.0,JTC
