date,close,change_close,open,high,low,volume,company_name
2019.09.18,1210.0,15.0,1230.0,1230.0,1195.0,99549.0,영흥철강
2019.09.17,1225.0,10.0,1215.0,1235.0,1190.0,276743.0,영흥철강
2019.09.16,1215.0,25.0,1205.0,1225.0,1190.0,260032.0,영흥철강
2019.09.11,1190.0,5.0,1200.0,1205.0,1180.0,275872.0,영흥철강
2019.09.10,1195.0,50.0,1155.0,1195.0,1150.0,348969.0,영흥철강
2019.09.09,1145.0,5.0,1145.0,1155.0,1130.0,169693.0,영흥철강
2019.09.06,1150.0,15.0,1180.0,1180.0,1145.0,157827.0,영흥철강
2019.09.05,1165.0,20.0,1155.0,1180.0,1140.0,152564.0,영흥철강
2019.09.04,1145.0,5.0,1145.0,1160.0,1130.0,125504.0,영흥철강
2019.09.03,1150.0,0.0,1135.0,1165.0,1135.0,49836.0,영흥철강
2019.09.02,1150.0,30.0,1115.0,1150.0,1115.0,110219.0,영흥철강
2019.08.30,1120.0,25.0,1110.0,1130.0,1100.0,131031.0,영흥철강
2019.08.29,1095.0,35.0,1125.0,1140.0,1085.0,224035.0,영흥철강
2019.08.28,1130.0,35.0,1090.0,1130.0,1090.0,66657.0,영흥철강
2019.08.27,1095.0,5.0,1120.0,1140.0,1095.0,253567.0,영흥철강
2019.08.26,1090.0,55.0,1115.0,1125.0,1075.0,266825.0,영흥철강
2019.08.23,1145.0,20.0,1145.0,1170.0,1140.0,173395.0,영흥철강
2019.08.22,1165.0,35.0,1195.0,1200.0,1165.0,352268.0,영흥철강
2019.08.21,1200.0,25.0,1205.0,1215.0,1185.0,267326.0,영흥철강
2019.08.20,1225.0,50.0,1175.0,1230.0,1170.0,356243.0,영흥철강
2019.08.19,1175.0,15.0,1160.0,1235.0,1155.0,133433.0,영흥철강
2019.08.16,1160.0,5.0,1165.0,1170.0,1125.0,204490.0,영흥철강
2019.08.14,1165.0,15.0,1185.0,1200.0,1165.0,207985.0,영흥철강
2019.08.13,1180.0,35.0,1135.0,1190.0,1130.0,260489.0,영흥철강
2019.08.12,1145.0,10.0,1155.0,1160.0,1125.0,140102.0,영흥철강
2019.08.09,1135.0,15.0,1125.0,1155.0,1125.0,192490.0,영흥철강
2019.08.08,1120.0,35.0,1090.0,1125.0,1085.0,325889.0,영흥철강
2019.08.07,1085.0,30.0,1055.0,1120.0,1055.0,525182.0,영흥철강
2019.08.06,1055.0,25.0,1015.0,1130.0,1010.0,728029.0,영흥철강
2019.08.05,1080.0,85.0,1140.0,1150.0,1050.0,598376.0,영흥철강
2019.08.02,1165.0,10.0,1145.0,1190.0,1145.0,125269.0,영흥철강
2019.08.01,1175.0,25.0,1180.0,1200.0,1165.0,143713.0,영흥철강
2019.07.31,1200.0,20.0,1160.0,1210.0,1150.0,251548.0,영흥철강
2019.07.30,1180.0,30.0,1130.0,1220.0,1130.0,422552.0,영흥철강
2019.07.29,1150.0,105.0,1230.0,1245.0,1150.0,739086.0,영흥철강
2019.07.26,1255.0,30.0,1270.0,1290.0,1240.0,340988.0,영흥철강
2019.07.25,1285.0,30.0,1305.0,1320.0,1275.0,207555.0,영흥철강
2019.07.24,1315.0,10.0,1315.0,1325.0,1300.0,241953.0,영흥철강
2019.07.23,1305.0,30.0,1350.0,1355.0,1300.0,239937.0,영흥철강
2019.07.22,1335.0,5.0,1325.0,1360.0,1325.0,217612.0,영흥철강
2019.07.19,1340.0,25.0,1325.0,1340.0,1295.0,101522.0,영흥철강
2019.07.18,1315.0,25.0,1280.0,1315.0,1280.0,234363.0,영흥철강
2019.07.17,1290.0,25.0,1315.0,1325.0,1285.0,245887.0,영흥철강
2019.07.16,1315.0,25.0,1340.0,1350.0,1310.0,213931.0,영흥철강
2019.07.15,1340.0,15.0,1355.0,1365.0,1330.0,160470.0,영흥철강
2019.07.12,1355.0,0.0,1350.0,1375.0,1335.0,141774.0,영흥철강
2019.07.11,1355.0,30.0,1335.0,1355.0,1330.0,171393.0,영흥철강
2019.07.10,1325.0,10.0,1315.0,1330.0,1300.0,280092.0,영흥철강
2019.07.09,1315.0,45.0,1355.0,1390.0,1305.0,436829.0,영흥철강
2019.07.08,1360.0,85.0,1420.0,1430.0,1350.0,724484.0,영흥철강
2019.07.05,1445.0,55.0,1390.0,1445.0,1390.0,892004.0,영흥철강
2019.07.04,1390.0,20.0,1400.0,1410.0,1370.0,462655.0,영흥철강
2019.07.03,1410.0,20.0,1400.0,1535.0,1390.0,3244992.0,영흥철강
2019.07.02,1390.0,5.0,1385.0,1415.0,1370.0,474637.0,영흥철강
2019.07.01,1385.0,20.0,1395.0,1395.0,1360.0,259385.0,영흥철강
2019.06.28,1365.0,10.0,1370.0,1390.0,1345.0,333887.0,영흥철강
2019.06.27,1355.0,45.0,1410.0,1435.0,1345.0,645291.0,영흥철강
2019.06.26,1400.0,40.0,1420.0,1435.0,1395.0,457185.0,영흥철강
2019.06.25,1440.0,5.0,1455.0,1460.0,1415.0,601675.0,영흥철강
2019.06.24,1435.0,10.0,1430.0,1480.0,1425.0,919647.0,영흥철강
2019.06.21,1425.0,100.0,1630.0,1640.0,1420.0,5712873.0,영흥철강
2019.06.20,1525.0,40.0,1485.0,1525.0,1450.0,2065086.0,영흥철강
2019.06.19,1485.0,50.0,1445.0,1490.0,1420.0,1339691.0,영흥철강
2019.06.18,1435.0,25.0,1410.0,1455.0,1380.0,821989.0,영흥철강
2019.06.17,1410.0,30.0,1445.0,1455.0,1390.0,958112.0,영흥철강
2019.06.14,1440.0,10.0,1445.0,1520.0,1415.0,3784914.0,영흥철강
2019.06.13,1430.0,10.0,1550.0,1555.0,1415.0,4454206.0,영흥철강
2019.06.12,1440.0,10.0,1430.0,1470.0,1410.0,1902419.0,영흥철강
2019.06.11,1430.0,20.0,1410.0,1435.0,1385.0,854437.0,영흥철강
2019.06.10,1410.0,90.0,1325.0,1410.0,1320.0,1175390.0,영흥철강
2019.06.07,1320.0,15.0,1325.0,1325.0,1290.0,192055.0,영흥철강
2019.06.05,1305.0,5.0,1315.0,1325.0,1290.0,240763.0,영흥철강
2019.06.04,1310.0,30.0,1285.0,1315.0,1260.0,469306.0,영흥철강
2019.06.03,1280.0,35.0,1305.0,1310.0,1275.0,422036.0,영흥철강
2019.05.31,1315.0,5.0,1325.0,1335.0,1295.0,274633.0,영흥철강
2019.05.30,1320.0,10.0,1325.0,1350.0,1320.0,330696.0,영흥철강
2019.05.29,1330.0,75.0,1380.0,1395.0,1330.0,793776.0,영흥철강
2019.05.28,1405.0,80.0,1350.0,1435.0,1350.0,3098046.0,영흥철강
2019.05.27,1325.0,25.0,1350.0,1350.0,1310.0,263945.0,영흥철강
2019.05.24,1300.0,45.0,1345.0,1355.0,1280.0,387804.0,영흥철강
2019.05.23,1345.0,40.0,1400.0,1405.0,1345.0,375002.0,영흥철강
2019.05.22,1385.0,10.0,1375.0,1400.0,1345.0,564843.0,영흥철강
2019.05.21,1375.0,30.0,1360.0,1375.0,1325.0,636532.0,영흥철강
2019.05.20,1345.0,15.0,1360.0,1415.0,1340.0,2152752.0,영흥철강
2019.05.17,1330.0,60.0,1275.0,1370.0,1270.0,883597.0,영흥철강
2019.05.16,1270.0,25.0,1315.0,1315.0,1265.0,278924.0,영흥철강
2019.05.15,1295.0,25.0,1275.0,1325.0,1250.0,316834.0,영흥철강
2019.05.14,1270.0,5.0,1230.0,1280.0,1225.0,346850.0,영흥철강
2019.05.13,1265.0,15.0,1270.0,1300.0,1260.0,294835.0,영흥철강
2019.05.10,1280.0,20.0,1285.0,1310.0,1280.0,286705.0,영흥철강
2019.05.09,1300.0,10.0,1290.0,1330.0,1255.0,540675.0,영흥철강
2019.05.08,1290.0,5.0,1275.0,1300.0,1270.0,251743.0,영흥철강
2019.05.07,1285.0,65.0,1330.0,1340.0,1275.0,711357.0,영흥철강
2019.05.03,1350.0,35.0,1315.0,1360.0,1310.0,255311.0,영흥철강
2019.05.02,1315.0,10.0,1310.0,1330.0,1295.0,333674.0,영흥철강
