date,close,change_close,open,high,low,volume,company_name
2019.09.18,2230.0,10.0,2160.0,2235.0,2110.0,88512.0,비에이치아이
2019.09.17,2220.0,185.0,2215.0,2380.0,2110.0,619035.0,비에이치아이
2019.09.16,2035.0,70.0,1985.0,2070.0,1985.0,86509.0,비에이치아이
2019.09.11,1965.0,20.0,2000.0,2000.0,1900.0,41163.0,비에이치아이
2019.09.10,1985.0,60.0,2005.0,2015.0,1960.0,57373.0,비에이치아이
2019.09.09,2045.0,85.0,1955.0,2130.0,1915.0,133014.0,비에이치아이
2019.09.06,1960.0,5.0,1955.0,1995.0,1885.0,48041.0,비에이치아이
2019.09.05,1955.0,20.0,1975.0,1995.0,1940.0,64818.0,비에이치아이
2019.09.04,1975.0,5.0,1935.0,1975.0,1935.0,31478.0,비에이치아이
2019.09.03,1970.0,40.0,2000.0,2070.0,1955.0,150844.0,비에이치아이
2019.09.02,1930.0,105.0,1835.0,1945.0,1810.0,101133.0,비에이치아이
2019.08.30,1825.0,50.0,1785.0,1835.0,1785.0,14805.0,비에이치아이
2019.08.29,1775.0,15.0,1770.0,1850.0,1740.0,58016.0,비에이치아이
2019.08.28,1760.0,80.0,1830.0,1860.0,1725.0,103868.0,비에이치아이
2019.08.27,1840.0,5.0,1850.0,1900.0,1835.0,26396.0,비에이치아이
2019.08.26,1835.0,100.0,1880.0,1910.0,1835.0,79406.0,비에이치아이
2019.08.23,1935.0,55.0,2000.0,2000.0,1930.0,24942.0,비에이치아이
2019.08.22,1990.0,35.0,1960.0,1990.0,1955.0,33367.0,비에이치아이
2019.08.21,1955.0,0.0,1975.0,1975.0,1930.0,19121.0,비에이치아이
2019.08.20,1955.0,65.0,1930.0,1955.0,1890.0,47133.0,비에이치아이
2019.08.19,1890.0,5.0,1895.0,1965.0,1880.0,89115.0,비에이치아이
2019.08.16,1895.0,125.0,1915.0,1995.0,1895.0,115797.0,비에이치아이
2019.08.14,2020.0,20.0,2000.0,2100.0,2000.0,31780.0,비에이치아이
2019.08.13,2000.0,10.0,2010.0,2025.0,1945.0,48961.0,비에이치아이
2019.08.12,2010.0,20.0,1935.0,2050.0,1935.0,38508.0,비에이치아이
2019.08.09,1990.0,5.0,1965.0,2050.0,1965.0,13731.0,비에이치아이
2019.08.08,1985.0,55.0,1905.0,2050.0,1905.0,59307.0,비에이치아이
2019.08.07,1930.0,65.0,1865.0,1950.0,1865.0,62700.0,비에이치아이
2019.08.06,1865.0,15.0,1820.0,1950.0,1790.0,145491.0,비에이치아이
2019.08.05,1880.0,165.0,2055.0,2065.0,1850.0,258223.0,비에이치아이
2019.08.02,2045.0,55.0,2100.0,2140.0,2000.0,50965.0,비에이치아이
2019.08.01,2100.0,55.0,2095.0,2180.0,2095.0,26354.0,비에이치아이
2019.07.31,2155.0,55.0,2135.0,2205.0,2135.0,28966.0,비에이치아이
2019.07.30,2210.0,100.0,2035.0,2260.0,2035.0,66640.0,비에이치아이
2019.07.29,2110.0,175.0,2240.0,2330.0,2080.0,100701.0,비에이치아이
2019.07.26,2285.0,25.0,2305.0,2365.0,2215.0,63279.0,비에이치아이
2019.07.25,2310.0,100.0,2350.0,2415.0,2300.0,50571.0,비에이치아이
2019.07.24,2410.0,10.0,2395.0,2450.0,2320.0,45531.0,비에이치아이
2019.07.23,2400.0,60.0,2430.0,2480.0,2380.0,36161.0,비에이치아이
2019.07.22,2460.0,0.0,2440.0,2485.0,2415.0,11027.0,비에이치아이
2019.07.19,2460.0,90.0,2370.0,2485.0,2370.0,27358.0,비에이치아이
2019.07.18,2370.0,140.0,2500.0,2510.0,2365.0,67288.0,비에이치아이
2019.07.17,2510.0,75.0,2585.0,2585.0,2510.0,37823.0,비에이치아이
2019.07.16,2585.0,20.0,2550.0,2605.0,2530.0,58502.0,비에이치아이
2019.07.15,2565.0,15.0,2570.0,2630.0,2540.0,132390.0,비에이치아이
2019.07.12,2580.0,80.0,2500.0,2620.0,2450.0,66101.0,비에이치아이
2019.07.11,2500.0,110.0,2425.0,2510.0,2395.0,39430.0,비에이치아이
2019.07.10,2390.0,50.0,2325.0,2425.0,2325.0,34084.0,비에이치아이
2019.07.09,2340.0,50.0,2350.0,2450.0,2330.0,70950.0,비에이치아이
2019.07.08,2390.0,145.0,2535.0,2630.0,2355.0,98152.0,비에이치아이
2019.07.05,2535.0,35.0,2530.0,2555.0,2465.0,27972.0,비에이치아이
2019.07.04,2500.0,35.0,2590.0,2590.0,2460.0,61052.0,비에이치아이
2019.07.03,2535.0,115.0,2685.0,2685.0,2510.0,84206.0,비에이치아이
2019.07.02,2650.0,50.0,2760.0,2760.0,2590.0,78826.0,비에이치아이
2019.07.01,2700.0,65.0,2680.0,2720.0,2635.0,65625.0,비에이치아이
2019.06.28,2635.0,0.0,2705.0,2705.0,2540.0,120223.0,비에이치아이
2019.06.27,2635.0,35.0,2675.0,2735.0,2630.0,117552.0,비에이치아이
2019.06.26,2670.0,190.0,2860.0,2885.0,2665.0,224804.0,비에이치아이
2019.06.25,2860.0,135.0,2720.0,2935.0,2690.0,490002.0,비에이치아이
2019.06.24,2725.0,170.0,2570.0,2990.0,2570.0,2199921.0,비에이치아이
2019.06.21,2555.0,65.0,2670.0,2680.0,2545.0,108114.0,비에이치아이
2019.06.20,2620.0,50.0,2560.0,2655.0,2550.0,102780.0,비에이치아이
2019.06.19,2570.0,60.0,2530.0,2570.0,2520.0,62419.0,비에이치아이
2019.06.18,2510.0,0.0,2525.0,2550.0,2455.0,50061.0,비에이치아이
2019.06.17,2510.0,35.0,2540.0,2550.0,2495.0,37642.0,비에이치아이
2019.06.14,2545.0,30.0,2560.0,2610.0,2515.0,58665.0,비에이치아이
2019.06.13,2575.0,15.0,2550.0,2610.0,2530.0,48067.0,비에이치아이
2019.06.12,2560.0,5.0,2580.0,2645.0,2555.0,85933.0,비에이치아이
2019.06.11,2565.0,40.0,2525.0,2620.0,2520.0,91601.0,비에이치아이
2019.06.10,2525.0,25.0,2540.0,2555.0,2460.0,63151.0,비에이치아이
2019.06.07,2500.0,45.0,2490.0,2540.0,2445.0,77296.0,비에이치아이
2019.06.05,2455.0,90.0,2370.0,2505.0,2370.0,154026.0,비에이치아이
2019.06.04,2365.0,25.0,2320.0,2410.0,2320.0,92144.0,비에이치아이
2019.06.03,2340.0,80.0,2385.0,2400.0,2340.0,93633.0,비에이치아이
2019.05.31,2420.0,5.0,2420.0,2450.0,2335.0,141168.0,비에이치아이
2019.05.30,2415.0,125.0,2570.0,2590.0,2415.0,207957.0,비에이치아이
2019.05.29,2540.0,50.0,2580.0,2585.0,2475.0,228369.0,비에이치아이
2019.05.28,2590.0,155.0,2645.0,2680.0,2525.0,766022.0,비에이치아이
2019.05.27,2745.0,405.0,2400.0,2995.0,2350.0,4465092.0,비에이치아이
2019.05.24,2340.0,35.0,2400.0,2975.0,2245.0,281681.0,비에이치아이
2019.05.23,2375.0,55.0,2430.0,2445.0,2345.0,45169.0,비에이치아이
2019.05.22,2430.0,15.0,2415.0,2500.0,2405.0,51897.0,비에이치아이
2019.05.21,2415.0,15.0,2335.0,2470.0,2335.0,46344.0,비에이치아이
2019.05.20,2400.0,80.0,2455.0,2505.0,2365.0,73976.0,비에이치아이
2019.05.17,2480.0,50.0,2435.0,2520.0,2435.0,73772.0,비에이치아이
