date,close,change_close,open,high,low,volume,company_name
2019.09.18,829.0,8.0,821.0,836.0,810.0,329685.0,세미콘라이트
2019.09.17,821.0,5.0,821.0,829.0,808.0,547062.0,세미콘라이트
2019.09.16,826.0,6.0,835.0,838.0,823.0,337421.0,세미콘라이트
2019.09.11,832.0,13.0,821.0,835.0,819.0,399610.0,세미콘라이트
2019.09.10,819.0,2.0,825.0,859.0,818.0,1048427.0,세미콘라이트
2019.09.09,817.0,15.0,846.0,846.0,809.0,684900.0,세미콘라이트
2019.09.06,832.0,15.0,847.0,857.0,831.0,493966.0,세미콘라이트
2019.09.05,847.0,14.0,862.0,870.0,837.0,1040199.0,세미콘라이트
2019.09.04,861.0,3.0,854.0,878.0,852.0,615487.0,세미콘라이트
2019.09.03,864.0,8.0,861.0,878.0,858.0,468909.0,세미콘라이트
2019.09.02,872.0,38.0,904.0,904.0,867.0,918277.0,세미콘라이트
2019.08.30,910.0,72.0,826.0,929.0,826.0,2525095.0,세미콘라이트
2019.08.29,838.0,22.0,857.0,874.0,835.0,549886.0,세미콘라이트
2019.08.28,860.0,2.0,857.0,886.0,845.0,971839.0,세미콘라이트
2019.08.27,858.0,1.0,856.0,880.0,837.0,719321.0,세미콘라이트
2019.08.26,859.0,17.0,875.0,880.0,845.0,642265.0,세미콘라이트
2019.08.23,876.0,9.0,881.0,894.0,875.0,855025.0,세미콘라이트
2019.08.22,885.0,11.0,897.0,960.0,879.0,2543896.0,세미콘라이트
2019.08.21,896.0,13.0,899.0,906.0,880.0,915709.0,세미콘라이트
2019.08.20,909.0,8.0,918.0,918.0,885.0,437974.0,세미콘라이트
2019.08.19,901.0,20.0,921.0,930.0,885.0,800358.0,세미콘라이트
2019.08.16,921.0,13.0,934.0,999.0,915.0,1705109.0,세미콘라이트
2019.08.14,934.0,20.0,981.0,998.0,908.0,1325819.0,세미콘라이트
2019.08.13,954.0,59.0,886.0,954.0,886.0,1251052.0,세미콘라이트
2019.08.12,895.0,10.0,885.0,917.0,878.0,650713.0,세미콘라이트
2019.08.09,905.0,21.0,855.0,918.0,852.0,1220966.0,세미콘라이트
2019.08.08,884.0,43.0,835.0,891.0,835.0,612990.0,세미콘라이트
2019.08.07,841.0,16.0,840.0,873.0,821.0,1021823.0,세미콘라이트
2019.08.06,825.0,45.0,850.0,890.0,693.0,1771484.0,세미콘라이트
2019.08.05,870.0,61.0,910.0,929.0,857.0,1181505.0,세미콘라이트
2019.08.02,931.0,0.0,911.0,936.0,886.0,715272.0,세미콘라이트
2019.08.01,931.0,2.0,960.0,1000.0,919.0,1317803.0,세미콘라이트
2019.07.31,929.0,19.0,910.0,1015.0,872.0,3572048.0,세미콘라이트
2019.07.30,910.0,27.0,856.0,961.0,856.0,1006365.0,세미콘라이트
2019.07.29,883.0,87.0,952.0,989.0,883.0,719676.0,세미콘라이트
2019.07.26,970.0,20.0,1010.0,1010.0,955.0,544844.0,세미콘라이트
2019.07.25,990.0,40.0,957.0,1020.0,920.0,998184.0,세미콘라이트
2019.07.24,950.0,27.0,968.0,978.0,930.0,1538574.0,세미콘라이트
2019.07.23,977.0,3.0,980.0,990.0,975.0,630660.0,세미콘라이트
2019.07.22,980.0,25.0,1005.0,1005.0,976.0,1105954.0,세미콘라이트
2019.07.19,1005.0,15.0,1035.0,1040.0,1000.0,856004.0,세미콘라이트
2019.07.18,1020.0,30.0,995.0,1035.0,995.0,1030875.0,세미콘라이트
2019.07.17,990.0,10.0,999.0,1095.0,958.0,3153292.0,세미콘라이트
2019.07.16,1000.0,35.0,1020.0,1025.0,973.0,1882009.0,세미콘라이트
2019.07.15,1035.0,5.0,1050.0,1080.0,1020.0,2395805.0,세미콘라이트
2019.07.12,1040.0,5.0,1045.0,1065.0,1010.0,1381098.0,세미콘라이트
2019.07.11,1045.0,5.0,1045.0,1080.0,1030.0,886381.0,세미콘라이트
2019.07.10,1050.0,50.0,1125.0,1135.0,1040.0,3100335.0,세미콘라이트
2019.07.09,1100.0,50.0,1040.0,1100.0,999.0,2182011.0,세미콘라이트
2019.07.08,1050.0,60.0,1100.0,1135.0,1045.0,2363930.0,세미콘라이트
2019.07.05,1110.0,60.0,1045.0,1145.0,1045.0,5379735.0,세미콘라이트
2019.07.04,1050.0,35.0,1010.0,1075.0,1000.0,2906448.0,세미콘라이트
2019.07.03,1015.0,10.0,1010.0,1080.0,1000.0,2877802.0,세미콘라이트
2019.07.02,1005.0,48.0,958.0,1030.0,930.0,3207489.0,세미콘라이트
2019.07.01,957.0,43.0,1000.0,1025.0,902.0,3686405.0,세미콘라이트
2019.06.28,1000.0,105.0,1290.0,1300.0,996.0,21188752.0,세미콘라이트
2019.06.27,1105.0,105.0,1060.0,1175.0,1035.0,17169122.0,세미콘라이트
2019.06.26,1000.0,65.0,935.0,1020.0,935.0,7118602.0,세미콘라이트
2019.06.25,935.0,15.0,919.0,944.0,902.0,1248992.0,세미콘라이트
2019.06.24,920.0,4.0,910.0,926.0,899.0,1122271.0,세미콘라이트
2019.06.21,924.0,40.0,885.0,944.0,885.0,3006568.0,세미콘라이트
2019.06.20,884.0,11.0,886.0,887.0,873.0,744914.0,세미콘라이트
2019.06.19,873.0,6.0,880.0,901.0,871.0,1209041.0,세미콘라이트
2019.06.18,879.0,12.0,891.0,892.0,865.0,1338586.0,세미콘라이트
2019.06.17,891.0,1.0,892.0,901.0,877.0,1035141.0,세미콘라이트
2019.06.14,890.0,2.0,893.0,906.0,871.0,1852198.0,세미콘라이트
2019.06.13,888.0,27.0,915.0,921.0,880.0,3367762.0,세미콘라이트
2019.06.12,915.0,20.0,941.0,947.0,911.0,2160150.0,세미콘라이트
2019.06.11,935.0,70.0,988.0,990.0,930.0,6140513.0,세미콘라이트
2019.06.10,1005.0,170.0,1255.0,1270.0,996.0,14403185.0,세미콘라이트
2019.06.07,1175.0,185.0,990.0,1175.0,984.0,11123072.0,세미콘라이트
2019.06.05,990.0,15.0,1000.0,1030.0,972.0,2310178.0,세미콘라이트
2019.06.04,1005.0,40.0,951.0,1035.0,951.0,5189971.0,세미콘라이트
2019.06.03,965.0,2.0,1020.0,1045.0,961.0,4750498.0,세미콘라이트
2019.05.31,963.0,85.0,891.0,1020.0,891.0,9005465.0,세미콘라이트
2019.05.30,878.0,55.0,824.0,897.0,824.0,2565879.0,세미콘라이트
2019.05.29,823.0,24.0,845.0,846.0,814.0,945325.0,세미콘라이트
2019.05.28,847.0,2.0,857.0,860.0,830.0,713027.0,세미콘라이트
2019.05.27,849.0,50.0,901.0,904.0,839.0,1578434.0,세미콘라이트
2019.05.24,899.0,8.0,891.0,910.0,873.0,910207.0,세미콘라이트
2019.05.23,907.0,45.0,947.0,954.0,893.0,1967195.0,세미콘라이트
2019.05.22,952.0,36.0,979.0,979.0,940.0,2052858.0,세미콘라이트
2019.05.21,988.0,68.0,915.0,988.0,892.0,3694063.0,세미콘라이트
2019.05.20,920.0,19.0,939.0,965.0,907.0,1182338.0,세미콘라이트
2019.05.17,939.0,5.0,979.0,1015.0,930.0,3435329.0,세미콘라이트
2019.05.16,934.0,9.0,933.0,974.0,918.0,3701663.0,세미콘라이트
2019.05.15,943.0,38.0,900.0,989.0,899.0,6446421.0,세미콘라이트
2019.05.14,905.0,24.0,888.0,923.0,846.0,2605548.0,세미콘라이트
2019.05.13,881.0,11.0,892.0,915.0,878.0,1085474.0,세미콘라이트
2019.05.10,892.0,17.0,895.0,895.0,851.0,656756.0,세미콘라이트
2019.05.09,875.0,6.0,893.0,950.0,867.0,3502763.0,세미콘라이트
2019.05.08,869.0,6.0,866.0,881.0,831.0,1298101.0,세미콘라이트
2019.05.07,863.0,15.0,856.0,900.0,844.0,1963135.0,세미콘라이트
2019.05.03,848.0,77.0,920.0,931.0,848.0,1627222.0,세미콘라이트
2019.05.02,925.0,11.0,930.0,954.0,920.0,737576.0,세미콘라이트
2019.04.30,936.0,0.0,936.0,960.0,925.0,882175.0,세미콘라이트
2019.04.29,936.0,33.0,967.0,969.0,934.0,1101396.0,세미콘라이트
2019.04.26,969.0,9.0,969.0,986.0,940.0,2059631.0,세미콘라이트
2019.04.25,978.0,63.0,921.0,1070.0,917.0,13125426.0,세미콘라이트
2019.04.24,915.0,19.0,898.0,928.0,892.0,2274044.0,세미콘라이트
2019.04.23,896.0,52.0,863.0,968.0,851.0,6850571.0,세미콘라이트
2019.04.22,844.0,4.0,848.0,886.0,826.0,1897836.0,세미콘라이트
2019.04.19,848.0,29.0,819.0,853.0,817.0,895423.0,세미콘라이트
2019.04.18,819.0,26.0,854.0,854.0,815.0,870022.0,세미콘라이트
2019.04.17,845.0,24.0,881.0,882.0,821.0,1031603.0,세미콘라이트
2019.04.16,869.0,11.0,893.0,893.0,865.0,574051.0,세미콘라이트
2019.04.15,880.0,1.0,899.0,899.0,873.0,704973.0,세미콘라이트
2019.04.12,881.0,13.0,872.0,911.0,868.0,1099052.0,세미콘라이트
2019.04.11,868.0,17.0,897.0,897.0,868.0,567657.0,세미콘라이트
2019.04.10,885.0,3.0,894.0,904.0,881.0,535052.0,세미콘라이트
2019.04.09,888.0,21.0,909.0,914.0,885.0,984495.0,세미콘라이트
2019.04.08,909.0,11.0,917.0,930.0,903.0,855898.0,세미콘라이트
2019.04.05,920.0,11.0,931.0,935.0,907.0,1256694.0,세미콘라이트
2019.04.04,931.0,66.0,873.0,1020.0,861.0,4069573.0,세미콘라이트
2019.04.03,865.0,14.0,886.0,886.0,861.0,835350.0,세미콘라이트
2019.04.02,879.0,25.0,904.0,920.0,876.0,751495.0,세미콘라이트
2019.04.01,904.0,56.0,848.0,907.0,842.0,1437897.0,세미콘라이트
2019.03.29,848.0,38.0,887.0,896.0,830.0,1300491.0,세미콘라이트
2019.03.28,886.0,16.0,903.0,920.0,885.0,963327.0,세미콘라이트
2019.03.27,902.0,4.0,906.0,922.0,899.0,1140014.0,세미콘라이트
2019.03.26,906.0,37.0,943.0,962.0,900.0,1097401.0,세미콘라이트
2019.03.25,943.0,38.0,967.0,973.0,890.0,1963783.0,세미콘라이트
2019.03.22,981.0,6.0,1015.0,1020.0,975.0,2452477.0,세미콘라이트
2019.03.21,975.0,85.0,1155.0,1315.0,942.0,19898601.0,세미콘라이트
2019.03.20,1060.0,173.0,887.0,1110.0,887.0,14009891.0,세미콘라이트
2019.03.19,887.0,42.0,831.0,898.0,831.0,1746197.0,세미콘라이트
2019.03.18,845.0,4.0,855.0,910.0,842.0,3085160.0,세미콘라이트
2019.03.15,841.0,8.0,840.0,867.0,838.0,879896.0,세미콘라이트
2019.03.14,833.0,0.0,820.0,834.0,787.0,2288033.0,세미콘라이트
2019.03.13,833.0,46.0,879.0,890.0,810.0,2087857.0,세미콘라이트
2019.03.12,879.0,55.0,824.0,940.0,812.0,6520302.0,세미콘라이트
2019.03.11,824.0,31.0,796.0,875.0,788.0,4298966.0,세미콘라이트
2019.03.08,793.0,11.0,782.0,794.0,765.0,905022.0,세미콘라이트
2019.03.07,782.0,12.0,768.0,813.0,757.0,2997232.0,세미콘라이트
2019.03.06,770.0,22.0,787.0,800.0,759.0,1710915.0,세미콘라이트
2019.03.05,748.0,8.0,740.0,748.0,735.0,593773.0,세미콘라이트
2019.03.04,740.0,22.0,718.0,754.0,715.0,918040.0,세미콘라이트
2019.02.28,718.0,10.0,722.0,765.0,718.0,1933520.0,세미콘라이트
2019.02.27,728.0,11.0,709.0,736.0,703.0,1058195.0,세미콘라이트
2019.02.26,717.0,20.0,736.0,737.0,711.0,1023483.0,세미콘라이트
2019.02.25,737.0,6.0,740.0,766.0,728.0,1017684.0,세미콘라이트
2019.02.22,743.0,30.0,714.0,815.0,698.0,7855568.0,세미콘라이트
2019.02.21,713.0,12.0,740.0,786.0,680.0,5197240.0,세미콘라이트
2019.02.20,725.0,77.0,770.0,822.0,707.0,6648268.0,세미콘라이트
2019.02.19,802.0,143.0,659.0,829.0,625.0,14095355.0,세미콘라이트
2019.02.18,659.0,7.0,679.0,692.0,655.0,1136154.0,세미콘라이트
2019.02.15,666.0,28.0,691.0,691.0,657.0,1573645.0,세미콘라이트
2019.02.14,694.0,13.0,728.0,729.0,670.0,2092030.0,세미콘라이트
2019.02.13,707.0,64.0,680.0,742.0,656.0,7037260.0,세미콘라이트
2019.02.12,643.0,15.0,651.0,716.0,635.0,7884600.0,세미콘라이트
2019.02.11,628.0,266.0,894.0,894.0,626.0,19986116.0,세미콘라이트
2019.02.08,894.0,6.0,906.0,910.0,888.0,531999.0,세미콘라이트
2019.02.07,900.0,39.0,940.0,941.0,898.0,1064487.0,세미콘라이트
2019.02.01,939.0,22.0,963.0,963.0,919.0,731945.0,세미콘라이트
2019.01.31,961.0,2.0,964.0,980.0,958.0,420376.0,세미콘라이트
2019.01.30,963.0,8.0,957.0,983.0,954.0,400164.0,세미콘라이트
2019.01.29,955.0,37.0,995.0,1010.0,951.0,1401818.0,세미콘라이트
2019.01.28,992.0,3.0,995.0,1005.0,950.0,845940.0,세미콘라이트
2019.01.25,995.0,5.0,1005.0,1015.0,968.0,1279338.0,세미콘라이트
2019.01.24,1000.0,35.0,1025.0,1045.0,989.0,1292169.0,세미콘라이트
2019.01.23,1035.0,40.0,1070.0,1075.0,1030.0,446276.0,세미콘라이트
2019.01.22,1075.0,5.0,1085.0,1100.0,1060.0,1100042.0,세미콘라이트
