date,close,change_close,open,high,low,volume,company_name
2019.09.18,5940.0,160.0,6180.0,6300.0,5880.0,196367.0,엠젠플러스
2019.09.17,6100.0,450.0,5900.0,6230.0,5800.0,987224.0,엠젠플러스
2019.09.16,5650.0,40.0,5740.0,5740.0,5590.0,81333.0,엠젠플러스
2019.09.11,5690.0,110.0,5580.0,5800.0,5560.0,118758.0,엠젠플러스
2019.09.10,5580.0,110.0,5670.0,5720.0,5550.0,87945.0,엠젠플러스
2019.09.09,5690.0,10.0,5670.0,5860.0,5670.0,80639.0,엠젠플러스
2019.09.06,5700.0,130.0,5630.0,5740.0,5520.0,174052.0,엠젠플러스
2019.09.05,5570.0,50.0,5580.0,5630.0,5490.0,142865.0,엠젠플러스
2019.09.04,5520.0,0.0,5450.0,5610.0,5420.0,103188.0,엠젠플러스
2019.09.03,5520.0,70.0,5580.0,5680.0,5460.0,176694.0,엠젠플러스
2019.09.02,5450.0,40.0,5430.0,5490.0,5330.0,105023.0,엠젠플러스
2019.08.30,5410.0,50.0,5370.0,5480.0,5370.0,98162.0,엠젠플러스
2019.08.29,5360.0,40.0,5420.0,5600.0,5290.0,152694.0,엠젠플러스
2019.08.28,5400.0,100.0,5290.0,5420.0,5190.0,141760.0,엠젠플러스
2019.08.27,5300.0,100.0,5300.0,5480.0,5210.0,136118.0,엠젠플러스
2019.08.26,5200.0,250.0,5230.0,5390.0,5180.0,124650.0,엠젠플러스
2019.08.23,5450.0,130.0,5460.0,5610.0,5370.0,136067.0,엠젠플러스
2019.08.22,5580.0,370.0,5950.0,5950.0,5530.0,428502.0,엠젠플러스
2019.08.21,5950.0,550.0,5410.0,6090.0,5310.0,1322970.0,엠젠플러스
2019.08.20,5400.0,170.0,5310.0,5470.0,5100.0,217040.0,엠젠플러스
2019.08.19,5230.0,100.0,5340.0,5400.0,5180.0,161481.0,엠젠플러스
2019.08.16,5330.0,110.0,5300.0,5330.0,5110.0,258479.0,엠젠플러스
2019.08.14,5440.0,40.0,5540.0,5650.0,5400.0,184875.0,엠젠플러스
2019.08.13,5480.0,120.0,5550.0,5610.0,5350.0,195910.0,엠젠플러스
2019.08.12,5600.0,140.0,5630.0,5700.0,5380.0,363953.0,엠젠플러스
2019.08.09,5740.0,110.0,5910.0,5950.0,5720.0,186332.0,엠젠플러스
2019.08.08,5850.0,0.0,5840.0,6080.0,5760.0,311508.0,엠젠플러스
2019.08.07,5850.0,160.0,5760.0,6000.0,5310.0,444458.0,엠젠플러스
2019.08.06,5690.0,450.0,6000.0,6170.0,5090.0,586028.0,엠젠플러스
2019.08.05,6140.0,1900.0,8300.0,8310.0,6040.0,1094357.0,엠젠플러스
2019.08.02,8040.0,120.0,7750.0,8110.0,7050.0,470115.0,엠젠플러스
2019.08.01,7920.0,40.0,8380.0,8500.0,7500.0,1185713.0,엠젠플러스
2019.07.31,7880.0,690.0,7050.0,7920.0,6970.0,996168.0,엠젠플러스
2019.07.30,7190.0,780.0,6880.0,7220.0,6570.0,568647.0,엠젠플러스
2019.07.29,6410.0,540.0,6750.0,6930.0,6410.0,233875.0,엠젠플러스
