date,close,change_close,open,high,low,volume,symbol
2019.09.27,13000.0,0.0,12750.0,13000.0,12750.0,14418.0,삼성출판사
2019.09.26,13000.0,150.0,13100.0,13350.0,12700.0,106177.0,삼성출판사
2019.09.25,13150.0,550.0,13600.0,13750.0,13050.0,75056.0,삼성출판사
2019.09.24,13700.0,100.0,13700.0,13850.0,13600.0,47822.0,삼성출판사
2019.09.23,13800.0,0.0,14300.0,14600.0,13750.0,180391.0,삼성출판사
2019.09.20,13800.0,100.0,13600.0,13800.0,13550.0,27111.0,삼성출판사
2019.09.19,13700.0,50.0,13650.0,13800.0,13400.0,45769.0,삼성출판사
2019.09.18,13650.0,0.0,13650.0,13800.0,13450.0,61141.0,삼성출판사
2019.09.17,13650.0,100.0,13450.0,13700.0,13400.0,40950.0,삼성출판사
2019.09.16,13550.0,100.0,13450.0,13600.0,13350.0,20126.0,삼성출판사
