date,close,change_close,open,high,low,volume,symbol
2019.09.27,4295.0,10.0,4305.0,4330.0,4275.0,7073.0,DSR
2019.09.26,4305.0,40.0,4270.0,4340.0,4260.0,27422.0,DSR
2019.09.25,4265.0,95.0,4450.0,4450.0,4235.0,72935.0,DSR
2019.09.24,4360.0,30.0,4390.0,4410.0,4325.0,35928.0,DSR
2019.09.23,4390.0,85.0,4500.0,4600.0,4365.0,108558.0,DSR
2019.09.20,4305.0,15.0,4310.0,4350.0,4280.0,21114.0,DSR
2019.09.19,4320.0,75.0,4245.0,4340.0,4235.0,35223.0,DSR
2019.09.18,4245.0,60.0,4345.0,4345.0,4210.0,21401.0,DSR
2019.09.17,4305.0,15.0,4350.0,4370.0,4290.0,25881.0,DSR
2019.09.16,4320.0,55.0,4290.0,4365.0,4250.0,58524.0,DSR
