date,close,change_close,open,high,low,volume,symbol
2019.09.27,3745.0,50.0,3795.0,3840.0,3650.0,883.0,진도
2019.09.26,3795.0,50.0,3775.0,3845.0,3700.0,4962.0,진도
2019.09.25,3745.0,50.0,3585.0,3895.0,3585.0,16866.0,진도
2019.09.24,3695.0,35.0,3655.0,3695.0,3565.0,7627.0,진도
2019.09.23,3660.0,70.0,3680.0,3760.0,3650.0,5168.0,진도
2019.09.20,3730.0,40.0,3770.0,3795.0,3700.0,5204.0,진도
2019.09.19,3770.0,10.0,3770.0,3795.0,3765.0,14565.0,진도
2019.09.18,3760.0,10.0,3750.0,3790.0,3725.0,2504.0,진도
2019.09.17,3750.0,15.0,3735.0,3750.0,3705.0,2182.0,진도
2019.09.16,3735.0,35.0,3700.0,3735.0,3630.0,11977.0,진도
