date,close,change_close,open,high,low,volume,symbol
2019.09.27,1465.0,20.0,1485.0,1490.0,1450.0,150917.0,영화금속
2019.09.26,1485.0,40.0,1450.0,1485.0,1440.0,449997.0,영화금속
2019.09.25,1445.0,10.0,1455.0,1470.0,1430.0,211113.0,영화금속
2019.09.24,1455.0,15.0,1480.0,1485.0,1450.0,242883.0,영화금속
2019.09.23,1470.0,15.0,1455.0,1475.0,1435.0,253014.0,영화금속
2019.09.20,1455.0,0.0,1455.0,1480.0,1425.0,232177.0,영화금속
2019.09.19,1455.0,5.0,1440.0,1460.0,1430.0,160472.0,영화금속
2019.09.18,1450.0,10.0,1450.0,1465.0,1435.0,268344.0,영화금속
2019.09.17,1460.0,30.0,1415.0,1495.0,1415.0,810707.0,영화금속
2019.09.16,1430.0,10.0,1415.0,1445.0,1410.0,244012.0,영화금속
