date,close,change_close,open,high,low,volume,symbol
2019.09.27,24100.0,200.0,24000.0,24300.0,24000.0,57.0,동남합성
2019.09.26,24300.0,200.0,23900.0,24400.0,23900.0,225.0,동남합성
2019.09.25,24100.0,200.0,24000.0,24300.0,24000.0,179.0,동남합성
2019.09.24,23900.0,50.0,23850.0,23950.0,23800.0,104.0,동남합성
2019.09.23,23950.0,50.0,23800.0,23950.0,23800.0,698.0,동남합성
2019.09.20,24000.0,200.0,24100.0,24300.0,23850.0,935.0,동남합성
2019.09.19,23800.0,0.0,23900.0,23900.0,23800.0,375.0,동남합성
2019.09.18,23800.0,0.0,24100.0,24100.0,23800.0,804.0,동남합성
2019.09.17,23800.0,50.0,23900.0,23900.0,23800.0,704.0,동남합성
2019.09.16,23750.0,250.0,24000.0,24000.0,23750.0,748.0,동남합성
