date,close,change_close,open,high,low,volume,symbol
2019.09.27,2450.0,20.0,2475.0,2475.0,2430.0,26131.0,GS글로벌
2019.09.26,2470.0,20.0,2455.0,2500.0,2435.0,95986.0,GS글로벌
2019.09.25,2450.0,50.0,2510.0,2520.0,2410.0,222071.0,GS글로벌
2019.09.24,2500.0,10.0,2480.0,2510.0,2480.0,73287.0,GS글로벌
2019.09.23,2490.0,20.0,2505.0,2520.0,2475.0,127679.0,GS글로벌
2019.09.20,2510.0,5.0,2520.0,2525.0,2480.0,113402.0,GS글로벌
2019.09.19,2505.0,5.0,2520.0,2555.0,2500.0,173801.0,GS글로벌
2019.09.18,2510.0,45.0,2555.0,2560.0,2510.0,257398.0,GS글로벌
2019.09.17,2555.0,35.0,2570.0,2590.0,2525.0,270507.0,GS글로벌
2019.09.16,2590.0,70.0,2550.0,2610.0,2510.0,617195.0,GS글로벌
