date,close,change_close,open,high,low,volume,symbol
2019.09.27,734.0,4.0,720.0,738.0,720.0,12864.0,한국전자홀딩스
2019.09.26,738.0,2.0,740.0,748.0,730.0,35525.0,한국전자홀딩스
2019.09.25,740.0,15.0,746.0,754.0,734.0,102601.0,한국전자홀딩스
2019.09.24,755.0,8.0,768.0,768.0,745.0,40214.0,한국전자홀딩스
2019.09.23,763.0,3.0,759.0,771.0,758.0,17752.0,한국전자홀딩스
2019.09.20,766.0,8.0,758.0,768.0,752.0,43906.0,한국전자홀딩스
2019.09.19,758.0,2.0,756.0,764.0,754.0,29569.0,한국전자홀딩스
2019.09.18,756.0,1.0,757.0,775.0,756.0,70646.0,한국전자홀딩스
2019.09.17,757.0,2.0,755.0,770.0,746.0,71779.0,한국전자홀딩스
2019.09.16,755.0,10.0,745.0,758.0,742.0,32458.0,한국전자홀딩스
