date,close,change_close,open,high,low,volume,symbol
2019.09.27,37350.0,250.0,37050.0,37700.0,36450.0,6996.0,한일현대시멘트
2019.09.26,37600.0,0.0,38250.0,38700.0,36500.0,24778.0,한일현대시멘트
2019.09.25,37600.0,2700.0,40200.0,40950.0,37300.0,68872.0,한일현대시멘트
2019.09.24,40300.0,450.0,40600.0,41350.0,40100.0,68516.0,한일현대시멘트
2019.09.23,40750.0,1200.0,40300.0,40850.0,40000.0,61735.0,한일현대시멘트
2019.09.20,39550.0,600.0,38950.0,39800.0,38900.0,31712.0,한일현대시멘트
2019.09.19,38950.0,500.0,39000.0,39700.0,38700.0,27762.0,한일현대시멘트
2019.09.18,39450.0,200.0,39500.0,40000.0,38050.0,67108.0,한일현대시멘트
2019.09.17,39250.0,750.0,39700.0,40450.0,38450.0,62839.0,한일현대시멘트
2019.09.16,40000.0,4750.0,36700.0,41400.0,36050.0,182519.0,한일현대시멘트
