date,close,change_close,open,high,low,volume,symbol
2019.09.27,30750.0,950.0,31450.0,32550.0,30700.0,18120.0,제일약품
2019.09.26,31700.0,200.0,31950.0,32200.0,31500.0,16713.0,제일약품
2019.09.25,31900.0,750.0,32600.0,32600.0,31800.0,21513.0,제일약품
2019.09.24,32650.0,50.0,32300.0,32750.0,32150.0,15157.0,제일약품
2019.09.23,32600.0,200.0,32850.0,33100.0,32150.0,16973.0,제일약품
2019.09.20,32800.0,700.0,32750.0,32800.0,32000.0,12978.0,제일약품
2019.09.19,32100.0,150.0,32100.0,32700.0,32100.0,10632.0,제일약품
2019.09.18,32250.0,850.0,33150.0,33150.0,32250.0,22881.0,제일약품
2019.09.17,33100.0,2000.0,31100.0,33750.0,31100.0,47427.0,제일약품
2019.09.16,31100.0,500.0,30650.0,31200.0,30400.0,14273.0,제일약품
