date,close,change_close,open,high,low,volume,symbol
2019.09.27,7560.0,20.0,7640.0,7640.0,7540.0,6772.0,노루페인트
2019.09.26,7580.0,0.0,7640.0,7690.0,7490.0,30859.0,노루페인트
2019.09.25,7580.0,170.0,7730.0,7730.0,7580.0,51737.0,노루페인트
2019.09.24,7750.0,40.0,7700.0,7750.0,7670.0,48942.0,노루페인트
2019.09.23,7710.0,20.0,7690.0,7760.0,7630.0,33430.0,노루페인트
2019.09.20,7690.0,0.0,7620.0,7790.0,7620.0,61687.0,노루페인트
2019.09.19,7690.0,90.0,7600.0,7740.0,7590.0,59246.0,노루페인트
2019.09.18,7600.0,50.0,7580.0,7630.0,7510.0,30200.0,노루페인트
2019.09.17,7550.0,20.0,7480.0,7560.0,7460.0,34331.0,노루페인트
2019.09.16,7530.0,90.0,7460.0,7560.0,7440.0,37409.0,노루페인트
