date,close,change_close,open,high,low,volume,symbol
2019.09.27,87700.0,300.0,89200.0,89200.0,87700.0,1179.0,동아쏘시오홀딩스
2019.09.26,88000.0,800.0,86700.0,88700.0,86700.0,7762.0,동아쏘시오홀딩스
2019.09.25,87200.0,200.0,87000.0,88100.0,86800.0,5810.0,동아쏘시오홀딩스
2019.09.24,87400.0,1100.0,88900.0,89000.0,86600.0,6856.0,동아쏘시오홀딩스
2019.09.23,88500.0,0.0,89500.0,89500.0,87800.0,5115.0,동아쏘시오홀딩스
2019.09.20,88500.0,600.0,86600.0,89000.0,86600.0,11136.0,동아쏘시오홀딩스
2019.09.19,87900.0,700.0,88400.0,89500.0,87300.0,7985.0,동아쏘시오홀딩스
2019.09.18,88600.0,700.0,87100.0,88900.0,87100.0,4490.0,동아쏘시오홀딩스
2019.09.17,87900.0,800.0,85400.0,88300.0,85400.0,5766.0,동아쏘시오홀딩스
2019.09.16,87100.0,1700.0,86000.0,87500.0,85900.0,4963.0,동아쏘시오홀딩스
