date,close,change_close,open,high,low,volume,symbol
2019.09.27,12600.0,0.0,12750.0,12750.0,12400.0,44907.0,락앤락
2019.09.26,12600.0,200.0,12750.0,12850.0,12500.0,99135.0,락앤락
2019.09.25,12800.0,100.0,12900.0,13200.0,12750.0,117077.0,락앤락
2019.09.24,12900.0,150.0,12600.0,12950.0,12600.0,89995.0,락앤락
2019.09.23,12750.0,200.0,12900.0,12950.0,12650.0,103696.0,락앤락
2019.09.20,12950.0,150.0,12750.0,13000.0,12650.0,87451.0,락앤락
2019.09.19,12800.0,250.0,12950.0,13050.0,12800.0,93384.0,락앤락
2019.09.18,13050.0,50.0,13150.0,13300.0,12950.0,82290.0,락앤락
2019.09.17,13100.0,100.0,13000.0,13300.0,12800.0,142529.0,락앤락
2019.09.16,13000.0,150.0,13000.0,13100.0,12650.0,135549.0,락앤락
